id,path,reference,hypothesis
1688-142285-0000,datasets/test-other/LibriSpeech/test-other/1688/142285/1688-142285-0000.wav,THERE'S IRON THEY SAY IN ALL OUR BLOOD AND A GRAIN OR TWO PERHAPS IS GOOD BUT HIS HE MAKES ME HARSHLY FEEL HAS GOT A LITTLE TOO MUCH OF STEEL ANON,THERE'S IRON THEY SAY IN ALL OUR BLOOD 
1688-142285-0001,datasets/test-other/LibriSpeech/test-other/1688/142285/1688-142285-0001.wav,MARGARET SAID MISTER HALE AS HE RETURNED FROM SHOWING HIS GUEST DOWNSTAIRS I COULD NOT HELP WATCHING YOUR FACE WITH SOME ANXIETY WHEN MISTER THORNTON MADE HIS CONFESSION OF HAVING BEEN A SHOP BOY,MARGARET SAID MR. HALL AS HE RETURNED FROM SHOWING HIS GUEST DOWNSTAIRS I COULD NOT HELP WATCHING YOUR FACE WITH SOME ANXIETY WHEN MR. THORNTON MADE HIS CONFESSION OF HAVING BEEN A SHOP BOY 
1688-142285-0003,datasets/test-other/LibriSpeech/test-other/1688/142285/1688-142285-0003.wav,I REALLY LIKED THAT ACCOUNT OF HIMSELF BETTER THAN ANYTHING ELSE HE SAID,I REALLY LIKE THAT ACCOUNT OF HIMSELF BETTER THAN ANYTHING ELSE HE SAID 
1688-142285-0005,datasets/test-other/LibriSpeech/test-other/1688/142285/1688-142285-0005.wav,YOU WHO WERE ALWAYS ACCUSING PEOPLE OF BEING SHOPPY AT HELSTONE,YOU WHO WERE ALWAYS ACCUSING PEOPLE OF BEING CHOPPY AT HELSTON 
1688-142285-0006,datasets/test-other/LibriSpeech/test-other/1688/142285/1688-142285-0006.wav,I DON'T THINK MISTER HALE YOU HAVE DONE QUITE RIGHT IN INTRODUCING SUCH A PERSON TO US WITHOUT TELLING US WHAT HE HAD BEEN,I DON'T THINK MR. HALE YOU HAVE DONE QUITE RIGHT IN INTRODUCING SUCH A PERSON TO US WITHOUT TELLING US WHAT HE HAD BEEN 
1688-142285-0007,datasets/test-other/LibriSpeech/test-other/1688/142285/1688-142285-0007.wav,I REALLY WAS VERY MUCH AFRAID OF SHOWING HIM HOW MUCH SHOCKED I WAS AT SOME PARTS OF WHAT HE SAID,I REALLY WAS VERY MUCH AFRAID OF SHOWING HIM HOW MUCH SHOCKED I WAS AT SOME PART OF WHAT HE SAID 
1688-142285-0010,datasets/test-other/LibriSpeech/test-other/1688/142285/1688-142285-0010.wav,HIS FATHER SPECULATED WILDLY FAILED AND THEN KILLED HIMSELF BECAUSE HE COULD NOT BEAR THE DISGRACE,HIS FATHER SPECULATED WILDLY FAILED 
1688-142285-0011,datasets/test-other/LibriSpeech/test-other/1688/142285/1688-142285-0011.wav,ALL HIS FORMER FRIENDS SHRUNK FROM THE DISCLOSURES THAT HAD TO BE MADE OF HIS DISHONEST GAMBLING WILD HOPELESS STRUGGLES MADE WITH OTHER PEOPLE'S MONEY TO REGAIN HIS OWN MODERATE PORTION OF WEALTH,ALL HIS FORMER FRIENDS SHRUNK FROM THE DISCLOSURES THAT HAD TO BE MADE OF HIS DISHONEST GAMBLING 
1688-142285-0013,datasets/test-other/LibriSpeech/test-other/1688/142285/1688-142285-0013.wav,AT LEAST NO FRIEND CAME FORWARDS IMMEDIATELY AND MISSUS THORNTON IS NOT ONE I FANCY TO WAIT TILL TARDY KINDNESS COMES TO FIND HER OUT,AT LEAST NO FRIEND CAME FORWARDS IMMEDIATELY AND MR. THORNTON IS NOT ONE I FANCY TO WAIT TILL TARDY KINDNESS COMES TO FIND HER OUT 
1688-142285-0016,datasets/test-other/LibriSpeech/test-other/1688/142285/1688-142285-0016.wav,OH PAPA BY THAT TESTING EVERYTHING BY THE STANDARD OF WEALTH,OP PAPA BY THAT TESTING EVERYTHING BY THE STANDARD OF WEALTH 
